state_acronym,state,state_fips,pop_total,pop_white,edu_total,edu_hs,edu_ged,edu_bachelors,edu_masters,edu_profschool,edu_phd,income_per_capita,pop_wo_healthcare
AL,Alabama,1,4876250,3320247,3320877,841716,181123,529178,230528,50270,35796,27928,457826
AK,Alaska,2,737068,476015,480586,108797,25785,88058,37958,10373,5630,36787,97156
AZ,Arizona,4,7050299,5444453,4732532,940168,188961,869452,378467,86371,60236,30694,723547
AR,Arkansas,5,2999370,2301044,2011639,559816,124843,297250,119000,27707,19279,26577,250631
CA,California,6,39283497,23453222,26471543,4813250,610212,5603047,2294771,645797,437111,36955,2915070
CO,Colorado,8,5610349,4712574,3825579,667781,149671,981017,428252,90525,65340,38226,420782
CT,Connecticut,9,3575074,2714031,2483095,588032,78796,541380,315473,76404,42208,44496,187937
DE,Delaware,10,957248,658237,669320,187323,22126,124632,64883,12849,11774,35450,53946
DC,District of Columbia,11,692683,285857,494116,70065,13120,122380,104526,41447,20906,56147,25179
FL,Florida,12,20901636,15702256,14965745,3647514,628723,2827938,1138820,328745,176198,31619,2637268
GA,Georgia,13,10403847,6098889,6888279,1582994,326073,1324801,590536,149171,93108,31067,1351097
HI,Hawaii,15,1422094,354847,993005,247978,23670,215777,74614,22900,14175,35567,52746
ID,Idaho,16,1717750,1545409,1115556,246382,58799,207179,69784,16921,13653,27970,179079
IL,Illinois,17,12770631,9134903,8686299,1941914,312610,1831438,862440,199455,116692,36038,859612
IN,Indiana,18,6665703,5553391,4430493,1249644,230440,749078,311229,64915,46934,29777,551909
IA,Iowa,19,3139508,2826070,2092785,565444,82954,403801,135213,34033,24784,32176,144607
KS,Kansas,20,2910652,2455935,1902279,416403,76404,400938,173172,37218,23742,31814,251030
KY,Kentucky,21,4449052,3868479,3019093,792393,200705,428846,216508,55258,30470,28178,248714
LA,Louisiana,22,4664362,2892275,3125153,893660,167728,490514,180464,53075,29532,27923,431416
ME,Maine,23,1335492,1259522,974117,259470,47119,194761,82129,19771,13227,32637,103829
MD,Maryland,24,6018848,3343003,4139008,890361,128292,891511,535947,126397,108869,42122,359135
MA,Massachusetts,25,6850553,5348538,4781683,1014308,134217,1151870,656508,145317,135370,43761,184322
MI,Michigan,26,9965265,7813755,6813480,1695368,271948,1207829,575818,120906,80617,31713,542855
MN,Minnesota,27,5563378,4609049,3766900,812779,115671,892893,327716,83373,55185,37625,246184
MS,Mississippi,28,2984418,1743217,1975670,477712,123643,269736,118193,27801,19423,24369,358580
MO,Missouri,29,6104910,5015904,4150049,1080715,189907,745843,340251,74401,52067,30810,559885
MT,Montana,30,1050649,930204,723295,175082,33459,155230,52801,14133,9505,31151,93166
NE,Nebraska,31,1914571,1666871,1251026,283407,43187,262614,96921,22846,16844,32302,153837
NV,Nevada,32,2972382,1949707,2044695,490303,83951,330222,122034,33877,19558,31557,327013
NH,New Hampshire,33,1348124,1252128,960337,222457,40864,218013,104407,19451,13866,40003,79069
NJ,New Jersey,34,8878503,6018074,6146379,1517670,153272,1489653,690446,161719,99133,42745,683679
NM,New Mexico,35,2092454,1565366,1403371,305538,65800,215662,117424,24942,25491,27230,197607
NY,New York,36,19572319,12459687,13631937,3002160,539114,2799878,1575714,400322,209893,39326,1117159
NC,North Carolina,37,10264876,7049919,6983859,1491605,299927,1395214,569334,121889,96416,30783,1076994
ND,North Dakota,38,756717,655136,495068,111716,19126,107938,28430,7002,5387,36062,54427
OH,Ohio,39,11655397,9476047,7975777,2323276,311721,1401609,628895,135452,89370,31552,702499
OK,Oklahoma,40,3932870,2844070,2592088,680748,131354,436601,161168,37944,25796,28422,541405
OR,Oregon,41,4129803,3480920,2898950,532852,126233,603359,259292,64154,49115,33763,275522
PA,Pennsylvania,42,12791530,10300602,8954232,2757067,349504,1701365,794850,183587,134483,34352,715285
RI,Rhode Island,44,1057231,850597,737200,174032,34355,150150,72817,16444,12707,36121,46738
SC,South Carolina,45,5020806,3372011,3446971,850160,153017,614156,263830,52935,38358,29426,515322
SD,South Dakota,46,870638,733719,572393,147794,25285,113870,35812,9183,6215,30773,80727
TN,Tennessee,47,6709356,5205132,4587393,1203461,268542,789448,327379,79363,57955,29859,639556
TX,Texas,48,28260856,20903375,18131554,3729737,795362,3534714,1380140,297995,207827,31277,4791164
UT,Utah,49,3096848,2676482,1824052,362222,54323,410803,150432,33101,26169,29775,289012
VT,Vermont,50,624313,587883,440460,111530,15302,99016,48734,11481,8252,34577,24644
VA,Virginia,51,8454463,5717617,5776886,1155096,228673,1272608,711810,147534,108408,39278,707960
WA,Washington,53,7404107,5581128,5101624,925707,196623,1144545,497712,113613,81742,38915,457854
WV,West Virginia,54,1817305,1691600,1287427,432826,86265,159196,77953,16224,12025,26480,108019
WI,Wisconsin,55,5790716,4946961,3955705,1073887,138094,780824,294273,68736,47496,33375,310259
WY,Wyoming,56,581024,531304,390516,93507,20028,68269,28366,5748,4472,33366,65354
PR,Puerto Rico,72,3318447,2188014,2345959,597482,58198,433178,119364,28049,26292,12914,215827
