"year","month","months_after_jan20","cases_total_nation","deaths_total_nation"
2020,1,1,7,0
2020,2,2,70,1
2020,3,3,188290,4302
2020,4,4,1074561,63128
2020,5,5,1798066,104365
2020,6,6,2651973,127489
2020,7,7,4569896,153852
2020,8,8,6041898,183454
2020,9,9,7257890,206780
2020,10,10,9201889,230409
2020,11,11,13605850,267893
2020,12,12,20014362,345902
2021,1,13,26210345,441143
2021,2,14,28612667,512996
2021,3,15,30467044,551495
2021,4,16,32350821,575613
2021,5,17,33265162,594152
2021,6,18,33628391,604273
2021,7,19,35004345,612737
2021,8,20,39298996,640314
2021,9,21,43435031,697717
2021,10,22,45263358,733077
